UNDETEK.EXE — Full Decompiled Source Manifest
======================================================================

Address            Category         Resolved Name                                 Ghidra Name
0x14000c540        misc             FUN_14000c540                                 FUN_14000c540
0x14000c55c        utility          FUN_14000c55c                                 FUN_14000c55c
0x14000c628        utility          __vcrt_initialize_ptd                         __vcrt_initialize_ptd
0x14000c670        utility          FUN_14000c670                                 FUN_14000c670
0x14000c698        misc             FUN_14000c698                                 FUN_14000c698
0x14000c6c0        utility          GetUnwindTryBlock                             GetUnwindTryBlock
0x14000c6ec        utility          SetState                                      SetState
0x14000c6f8        utility          SetUnwindTryBlock                             SetUnwindTryBlock
0x14000c734        misc             FUN_14000c734                                 FUN_14000c734
0x14000c73c        misc             FUN_14000c73c                                 FUN_14000c73c
0x14000c744        misc             FUN_14000c744                                 FUN_14000c744
0x14000c7ac        misc             FUN_14000c7ac                                 FUN_14000c7ac
0x14000c89c        runtime          FUN_14000c89c                                 FUN_14000c89c
0x14000ca90        runtime          FUN_14000ca90                                 FUN_14000ca90
0x14000cc88        misc             FUN_14000cc88                                 FUN_14000cc88
0x14000cd48        misc             FUN_14000cd48                                 FUN_14000cd48
0x14000ce0c        misc             FUN_14000ce0c                                 FUN_14000ce0c
0x14000cee4        misc             FUN_14000cee4                                 FUN_14000cee4
0x14000cfbc        cheat_features   FUN_14000cfbc                                 FUN_14000cfbc
0x14000d4ac        runtime          FUN_14000d4ac                                 FUN_14000d4ac
0x14000d9e4        misc             FUN_14000d9e4                                 FUN_14000d9e4
0x14000dc48        runtime          FUN_14000dc48                                 FUN_14000dc48
0x14000df50        utility          FUN_14000df50                                 FUN_14000df50
0x14000e070        utility          FUN_14000e070                                 FUN_14000e070
0x14000e1b0        cheat_features   FUN_14000e1b0                                 FUN_14000e1b0
0x14000e3e0        runtime          FUN_14000e3e0                                 FUN_14000e3e0
0x14000e688        utility          thunk_FUN_14000e1b0                           thunk_FUN_14000e1b0
0x14000e690        misc             FUN_14000e690                                 FUN_14000e690
0x14000e6dc        misc             FUN_14000e6dc                                 FUN_14000e6dc
0x14000e760        misc             FUN_14000e760                                 FUN_14000e760
0x14000e844        utility          FUN_14000e844                                 FUN_14000e844
0x14000e880        utility          FUN_14000e880                                 FUN_14000e880
0x14000e8a4        misc             FUN_14000e8a4                                 FUN_14000e8a4
0x14000ea90        misc             FUN_14000ea90                                 FUN_14000ea90
0x14000ecd0        utility          DecompHandler                                 DecompHandler
0x14000ee58        misc             FUN_14000ee58                                 FUN_14000ee58
0x14000eef0        utility          ExFilterRethrowFH4                            ExFilterRethrowFH4
0x14000ef20        misc             FUN_14000ef20                                 FUN_14000ef20
0x14000f0ac        runtime          FUN_14000f0ac                                 FUN_14000f0ac
0x14000f3b8        utility          GetHandlerSearchState                         GetHandlerSearchState
0x14000f450        misc             FUN_14000f450                                 FUN_14000f450
0x14000f538        misc             FUN_14000f538                                 FUN_14000f538
0x14000f5c0        utility          ReadEntry                                     ReadEntry
0x14000f660        misc             FUN_14000f660                                 FUN_14000f660
0x14000f66c        misc             FUN_14000f66c                                 FUN_14000f66c
0x14000f67c        misc             FUN_14000f67c                                 FUN_14000f67c
0x14000f74c        misc             FUN_14000f74c                                 FUN_14000f74c
0x14000f830        misc             FUN_14000f830                                 FUN_14000f830
0x14000f850        misc             FUN_14000f850                                 FUN_14000f850
0x14000f860        misc             FUN_14000f860                                 FUN_14000f860
0x14000f864        utility          __except_validate_context_record              __except_validate_context_record
0x14000f89c        utility          __vcrt_initialize_locks                       __vcrt_initialize_locks
0x14000f8e4        utility          __vcrt_uninitialize_locks                     __vcrt_uninitialize_locks
0x14000f91c        injection        FUN_14000f91c                                 FUN_14000f91c
0x14000fa6c        utility          __vcrt_FlsAlloc                               __vcrt_FlsAlloc
0x14000fab4        utility          __vcrt_FlsFree                                __vcrt_FlsFree
0x14000fafc        utility          __vcrt_FlsGetValue                            __vcrt_FlsGetValue
0x14000fb44        utility          __vcrt_FlsSetValue                            __vcrt_FlsSetValue
0x14000fb98        utility          __vcrt_InitializeCriticalSectionEx            __vcrt_InitializeCriticalSectionEx
0x14000fc40        utility          _CallSettingFrame                             _CallSettingFrame
0x14000fc80        misc             FUN_14000fc80                                 FUN_14000fc80
0x14000fcb0        misc             FUN_14000fcb0                                 FUN_14000fcb0
0x14000fce0        utility          _CallSettingFrameEncoded                      _CallSettingFrameEncoded
0x14000fd30        misc             FUN_14000fd30                                 FUN_14000fd30
0x14000fd68        misc             FUN_14000fd68                                 FUN_14000fd68
0x140010044        misc             FUN_140010044                                 FUN_140010044
0x140010320        misc             FUN_140010320                                 FUN_140010320
0x140010390        misc             FUN_140010390                                 FUN_140010390
0x140010408        misc             FUN_140010408                                 FUN_140010408
0x140010480        runtime          thread_create_wrapper                         FUN_140010480
0x140010530        utility          FUN_140010530                                 FUN_140010530
0x140010650        utility          get_stdout_handle                             FUN_140010650
0x140010664        utility          __acrt_uninitialize_stdio                     __acrt_uninitialize_stdio
0x1400106c0        misc             FUN_1400106c0                                 FUN_1400106c0
0x1400106cc        misc             FUN_1400106cc                                 FUN_1400106cc
0x1400106d8        utility          _fgetc_nolock                                 _fgetc_nolock
0x14001071c        utility          _fgetc_nolock                                 _fgetc_nolock
0x140010724        cheat_features   FUN_140010724                                 FUN_140010724
0x140010838        injection        keyboard_input_poll                           FUN_140010838
0x140010850        misc             operator()<>                                  operator()<>
0x140010890        utility          FUN_140010890                                 FUN_140010890
0x140010938        misc             FUN_140010938                                 FUN_140010938
0x140010bec        misc             FUN_140010bec                                 FUN_140010bec
0x140010df0        misc             FUN_140010df0                                 FUN_140010df0
0x140010ff4        misc             FUN_140010ff4                                 FUN_140010ff4
0x1400111f8        misc             FUN_1400111f8                                 FUN_1400111f8
0x140011268        misc             FUN_140011268                                 FUN_140011268
0x140011314        misc             FUN_140011314                                 FUN_140011314
0x140011398        misc             FUN_140011398                                 FUN_140011398
0x140011408        misc             FUN_140011408                                 FUN_140011408
0x1400114b8        misc             FUN_1400114b8                                 FUN_1400114b8
0x14001153c        runtime          FUN_14001153c                                 FUN_14001153c
0x140011658        misc             FUN_140011658                                 FUN_140011658
0x1400116c4        misc             FUN_1400116c4                                 FUN_1400116c4
0x140011754        misc             FUN_140011754                                 FUN_140011754
0x140011ad8        misc             FUN_140011ad8                                 FUN_140011ad8
0x140011e48        misc             FUN_140011e48                                 FUN_140011e48
0x140011fd0        misc             FUN_140011fd0                                 FUN_140011fd0
0x140012158        runtime          FUN_140012158                                 FUN_140012158
0x140012690        runtime          FUN_140012690                                 FUN_140012690
0x140012b00        misc             FUN_140012b00                                 FUN_140012b00
0x140012b7c        misc             FUN_140012b7c                                 FUN_140012b7c
0x140012dd8        misc             FUN_140012dd8                                 FUN_140012dd8
0x140012eac        misc             FUN_140012eac                                 FUN_140012eac
0x140012f64        misc             FUN_140012f64                                 FUN_140012f64
0x140013000        utility          validate_stream_is_ansi_if_required           validate_stream_is_ansi_if_required
0x14001309c        utility          write_string                                  write_string
0x140013140        misc             FUN_140013140                                 FUN_140013140
0x140013210        rendering        cheat_menu_controller                         FUN_140013210
0x140013334        runtime          FUN_140013334                                 FUN_140013334
0x140013588        misc             operator()<>                                  operator()<>
0x1400135c8        utility          parse_floating_point_tmpl                     parse_floating_point<>
0x140013670        utility          parse_floating_point_tmpl                     parse_floating_point<>
0x140013718        cheat_features   FUN_140013718                                 FUN_140013718
0x140013ef8        cheat_features   FUN_140013ef8                                 FUN_140013ef8
0x1400140cc        cheat_features   FUN_1400140cc                                 FUN_1400140cc
0x140014344        cheat_features   FUN_140014344                                 FUN_140014344
0x1400143dc        cheat_features   FUN_1400143dc                                 FUN_1400143dc
0x140014474        utility          FUN_140014474                                 FUN_140014474
0x1400145dc        utility          FUN_1400145dc                                 FUN_1400145dc
0x1400147b4        cheat_features   FUN_1400147b4                                 FUN_1400147b4
